City,Country,Date,Lat,Lng,Wind Speed,Cloudiness,Max Temp,Humidity
Hasaki,JP,1584411894,35.73,140.83,2.1,75,284.26,36
Torbay,CA,1584411824,47.67,-52.73,1.5,5,264.82,72
Kalamb,IN,1584411894,19.05,73.95,3.37,3,299.65,29
Davila,PH,1584411895,18.47,120.58,1.5,40,303.15,55
Katsuura,JP,1584411874,35.13,140.3,2.1,75,283.71,45
Nanga Eboko,CM,1584411895,4.68,12.37,1.45,44,294.71,94
Pisco,PE,1584411753,-13.7,-76.22,8.2,40,296.15,78
Smithers,CA,1584411723,54.78,-127.17,2.6,20,278.15,25
Coos Bay,US,1584411821,43.37,-124.22,2.1,1,287.59,71
Francisco Beltrão,BR,1584411896,-26.08,-53.05,0.55,8,292.56,80
Kahului,US,1584411751,20.89,-156.47,3.6,75,300.15,61
Petropavlovsk-Kamchatskiy,RU,1584411863,53.05,158.65,4.0,86,271.15,39
Anito,PH,1584411896,12.45,125.29,9.17,82,299.95,79
Alcamo,IT,1584411896,38.0,12.96,0.5,20,285.37,87
Vaini,TO,1584411818,-21.2,-175.2,9.8,75,304.15,74
Ati,TD,1584411897,13.22,18.34,4.46,0,295.36,11
Najrān,SA,1584411897,17.49,44.13,1.0,69,294.15,28
Isangel,VU,1584411897,-19.55,169.27,6.2,75,303.15,74
Aklavik,CA,1584411866,68.22,-135.01,4.6,75,267.15,79
Zhalantun,CN,1584411899,48.0,122.72,4.46,0,275.1,80
Ancud,CL,1584411882,-41.87,-73.82,1.5,20,286.15,100
Cabra,ES,1584411832,37.47,-4.44,2.6,20,281.15,93
Comodoro Rivadavia,AR,1584411899,-45.87,-67.5,3.1,75,289.15,87
Maués,BR,1584411899,-3.38,-57.72,0.9,98,297.0,93
Yauya,PE,1584411900,-8.98,-77.3,1.76,100,279.27,94
Igarka,RU,1584411900,67.47,86.58,6.32,100,249.59,83
Tacoronte,ES,1584411900,28.48,-16.41,4.6,90,292.04,81
Saint George,US,1584411825,37.1,-113.58,4.6,1,289.26,58
Hong Kong,HK,1584411576,22.29,114.16,6.2,40,294.82,77
Kaduqli,SD,1584411900,11.02,29.72,7.14,93,297.31,12
Esperance,AU,1584411817,-33.87,121.9,5.1,40,300.15,51
Sitka,US,1584411784,57.05,-135.33,4.1,90,277.15,80
Vryburg,ZA,1584411901,-26.96,24.73,3.34,30,290.83,73
Zharkent,KZ,1584411901,44.16,80.0,5.38,100,285.25,24
Cullinan,ZA,1584411901,-25.67,28.52,4.6,70,290.15,72
Aktau,KZ,1584411902,43.65,51.2,3.0,96,272.15,92
Provideniya,RU,1584411843,64.38,-173.3,6.0,90,272.15,86
Gushikawa,JP,1584411902,26.35,127.87,2.1,1,292.15,55
Henties Bay,NA,1584411902,-22.12,14.28,1.75,27,289.26,94
Saint Paul Harbor,US,1584411651,57.79,-152.41,3.1,90,278.15,75
Hithadhoo,MV,1584411817,-0.6,73.08,5.13,61,302.01,71
Cambridge,CA,1584411651,43.36,-80.31,3.1,90,275.37,97
Ariquemes,BR,1584411903,-9.91,-63.04,1.28,100,296.4,98
Half Moon Bay,US,1584411588,37.46,-122.43,3.1,75,284.26,71
Ipswich,GB,1584411903,52.06,1.16,4.1,1,279.82,87
Nuuk,GL,1584411733,64.18,-51.72,6.2,0,258.15,50
Dhidhdhoo,MV,1584411904,6.88,73.1,4.04,100,301.62,72
Touros,BR,1584411788,-5.2,-35.46,1.0,75,298.15,94
Alghero,IT,1584411904,40.56,8.32,1.91,3,280.49,91
Ovsyanka,RU,1584411904,55.96,92.55,12.0,10,272.15,58
Dingle,PH,1584411861,11.0,122.67,5.26,1,302.76,54
Gaoual,GN,1584411904,11.75,-13.2,1.47,88,294.55,33
Medicine Hat,CA,1584411905,50.05,-110.67,5.1,5,268.15,62
Kuminskiy,RU,1584411905,58.67,66.57,5.25,100,272.1,94
Henderson,US,1584411905,36.04,-114.98,9.8,1,292.15,36
Cradock,ZA,1584411905,-32.16,25.62,0.55,100,285.81,83
Muros,ES,1584411849,42.78,-9.06,2.6,20,283.71,87
Upernavik,GL,1584411736,72.79,-56.15,4.08,0,245.19,50
Chake Chake,TZ,1584411906,-5.25,39.77,4.11,100,302.18,78
Sarangani,PH,1584411906,5.4,125.46,9.07,99,300.7,74
Northam,GB,1584411906,51.03,-4.22,4.1,100,282.04,87
Eureka,US,1584411898,40.8,-124.16,2.1,90,282.59,66
Tomigusuku,JP,1584411907,26.18,127.67,1.5,20,292.15,55
Tiksi,RU,1584411814,71.69,128.87,2.56,100,253.35,94
Petra,JO,1584411908,30.32,35.48,1.36,0,284.01,71
Natal,BR,1584411908,-5.79,-35.21,1.0,75,298.15,94
Tyukhtet,RU,1584411908,56.54,89.3,5.37,100,267.67,86
Bilma,NE,1584411897,18.69,12.92,5.28,91,294.07,7
Asilah,MA,1584411841,35.47,-6.03,4.1,40,284.15,71
Khatanga,RU,1584411785,71.97,102.5,3.66,0,240.96,95
Tocopilla,CL,1584411758,-22.09,-70.2,1.79,2,286.31,50
Dīr,PK,1584411909,35.21,71.88,2.31,3,283.3,52
Talnakh,RU,1584411835,69.49,88.4,6.0,95,251.15,76
Mahébourg,MU,1584411847,-20.41,57.7,4.1,75,297.15,94
Champasak,LA,1584411910,14.75,106.0,4.1,40,303.15,58
Fortuna,US,1584411837,40.6,-124.16,1.04,75,283.15,75
Bilibino,RU,1584411766,68.05,166.44,2.18,89,265.33,85
Muravlenko,RU,1584411910,63.79,74.52,12.18,78,261.2,84
Kieta,PG,1584411910,-6.22,155.63,2.54,84,302.06,69
Zhigansk,RU,1584411889,66.77,123.37,6.7,95,251.29,94
Nantucket,US,1584411911,41.28,-70.1,4.6,90,274.82,69
Nome,US,1584411731,64.5,-165.41,5.7,90,272.15,86
Soligalich,RU,1584411911,59.08,42.29,2.84,98,271.87,96
Waddān,LY,1584411839,29.16,16.14,2.99,0,287.14,79
Verkhoyansk,RU,1584411857,67.54,133.38,1.14,98,255.24,90
College,US,1584411767,64.86,-147.8,1.5,90,275.15,94
Biak,ID,1584411912,-0.91,122.88,3.89,0,301.4,74
Aksarka,RU,1584411807,66.56,67.8,7.47,100,266.94,94
São João da Barra,BR,1584411855,-21.64,-41.05,7.14,47,298.96,86
Mangai,CD,1584411912,-4.05,19.53,0.65,100,293.95,96
Itararé,BR,1584411912,-24.11,-49.33,1.75,0,293.08,92
Sovetskoye,RU,1584411913,52.29,85.41,1.7,100,272.49,93
Severo-Kuril'sk,RU,1584411739,50.68,156.12,2.69,99,267.65,80
León,MX,1584411752,21.12,-101.67,1.08,75,291.15,52
Kaa-Khem,RU,1584411724,51.68,94.73,0.92,100,270.94,93
Port Moresby,PG,1584411913,-9.44,147.18,6.2,40,302.15,79
Naze,JP,1584411786,28.37,129.48,2.1,75,290.15,55
Bambous Virieux,MU,1584411481,-20.34,57.76,4.1,75,297.15,94
Ugoofaaru,MV,1584411914,5.67,73.0,6.54,100,301.61,77
Longyearbyen,SJ,1584411815,78.22,15.64,2.6,40,248.15,69
Raudeberg,NO,1584411914,61.99,5.14,14.9,100,278.71,86
Bauchi,NG,1584411915,10.5,10.0,1.33,74,291.08,12
Sampit,ID,1584411915,-2.53,112.95,1.07,8,301.76,87
Alenquer,BR,1584411915,-1.94,-54.74,1.5,71,298.15,94
Tessalit,ML,1584411884,20.2,1.01,3.36,28,296.71,9
Tomatlán,MX,1584411916,19.93,-105.25,0.63,0,293.69,89
Antofagasta,CL,1584411664,-23.65,-70.4,2.1,20,291.15,82
Chincholi,IN,1584411916,17.47,77.43,3.76,0,300.39,46
Río Gallegos,AR,1584411821,-51.62,-69.22,5.1,3,281.15,65
Chokurdakh,RU,1584411847,70.63,147.92,0.48,0,249.85,88
Balogo,PH,1584411916,10.89,124.71,1.92,90,303.21,55
Iguatu,BR,1584411917,-6.36,-39.3,1.62,100,294.83,97
Alice Springs,AU,1584411710,-23.7,133.88,7.7,0,303.15,25
San Rafael,AR,1584411917,-34.62,-68.33,5.83,0,293.71,70
Deputatsky,RU,1584411816,69.3,139.9,0.64,91,254.13,81
Géri,CY,1584411918,35.1,33.42,2.1,40,288.15,87
Akureyri,IS,1584411918,65.68,-18.09,314.3,90,274.15,96
Posse,BR,1584411918,-14.09,-46.37,0.79,97,293.63,97
Pacific Grove,US,1584411734,36.62,-121.92,6.19,1,284.82,62
Zhezkazgan,KZ,1584411918,47.8,67.71,3.0,75,276.15,86
Izhma,RU,1584411919,65.01,53.91,6.39,100,271.69,92
Lashio,MM,1584411919,22.93,97.75,1.22,9,301.77,25
Sept-Îles,CA,1584411919,50.2,-66.38,1.5,20,258.71,83
Itō,JP,1584411919,34.97,139.08,5.1,75,284.82,53
Naples,IT,1584411814,40.83,14.25,1.5,0,285.37,75
Torit,SS,1584411920,4.41,32.57,1.56,92,299.3,55
Ulaangom,MN,1584411920,49.98,92.07,1.19,97,263.96,86
Yulara,AU,1584411838,-25.24,130.99,4.6,0,307.15,9
Weihe,CN,1584411920,33.0,105.32,2.0,100,286.31,25
Kumul,CN,1584411920,42.8,93.45,1.49,1,284.06,17
Kavaratti,IN,1584411885,10.57,72.64,3.27,20,301.15,74
Saint-Joseph,RE,1584411921,-21.37,55.62,2.1,75,297.15,88
Bom Jardim,BR,1584411921,-7.8,-35.59,1.51,100,297.87,87
Ilulissat,GL,1584411883,69.22,-51.1,6.2,28,253.15,48
Coahuayana Viejo,MX,1584411787,18.73,-103.68,1.81,75,296.15,78
Port Macquarie,AU,1584411820,-31.43,152.92,4.6,75,295.37,93
Oktyabr'skiy,RU,1584411922,54.48,53.47,3.7,0,265.94,91
Chifeng,CN,1584411922,42.27,118.96,9.19,0,278.46,28
Boa Vista,BR,1584411814,2.82,-60.67,2.6,75,305.15,49
Guerrero Negro,MX,1584411839,27.98,-114.06,6.22,100,288.73,69
Iqaluit,CA,1584411840,63.75,-68.51,6.2,90,259.15,71
Leshukonskoye,RU,1584411922,64.9,45.76,4.32,70,267.58,90
Cap Malheureux,MU,1584411923,-19.98,57.61,4.1,75,297.15,94
Ishigaki,JP,1584411923,24.34,124.16,3.6,40,295.15,56
Bonavista,CA,1584411893,48.65,-53.11,0.89,0,263.71,79
Mandan,US,1584411923,46.83,-100.89,9.3,90,271.15,79
Mundo Nuevo (Ojo de Agua),MX,1584411810,18.7,-95.5,3.48,0,295.43,92
Vanavara,RU,1584411798,60.34,102.28,5.45,100,272.36,95
Trelew,AR,1584411663,-43.25,-65.31,4.96,6,293.24,39
Jalu,LY,1584411841,29.03,21.55,7.03,0,289.52,54
Isiolo,KE,1584411924,0.35,37.58,0.48,90,296.13,60
San Vicente,AR,1584411924,-26.62,-54.13,1.14,0,294.56,72
Kolāras,IN,1584411924,25.23,77.6,2.86,100,294.62,31
Cranbrook,CA,1584411662,49.5,-115.77,1.0,20,274.15,47
Hamilton,US,1584411630,39.18,-84.53,1.5,90,281.15,70
Sucre,BO,1584411925,-19.03,-65.26,1.26,100,283.38,94
Banjar,ID,1584411925,-8.19,114.97,4.1,20,303.15,84
Turukhansk,RU,1584411877,65.82,87.98,3.28,89,247.56,93
George Town,MY,1584411856,5.41,100.34,3.1,20,303.15,55
Bafatá,GW,1584411926,12.17,-14.75,1.52,69,294.25,40
Malbork,PL,1584411926,54.04,19.03,1.0,90,278.15,100
Zheleznodorozhnyy,RU,1584411926,55.75,38.0,1.0,100,275.93,59
Jimeta,NG,1584411926,9.28,12.47,1.15,66,296.11,11
Ilām,NP,1584411926,26.92,87.92,1.73,0,288.26,43
Bodaybo,RU,1584411927,57.85,114.19,1.51,100,268.71,94
Honningsvåg,NO,1584411927,70.98,25.97,14.03,100,269.99,76
Port Lincoln,AU,1584411876,-34.73,135.87,5.33,100,301.71,24
Dudinka,RU,1584411927,69.41,86.18,6.0,100,251.15,76
Sydney,AU,1584411778,-33.87,151.21,4.1,75,295.93,68
San Cristobal,VE,1584411928,7.77,-72.22,1.0,40,300.15,65
Malpe,IN,1584411928,13.35,74.72,2.1,20,299.15,74
Ilo,PE,1584411928,-17.64,-71.34,0.94,100,295.24,83
Lüderitz,NA,1584411875,-26.65,15.16,0.5,0,290.15,93
Pangnirtung,CA,1584411928,66.15,-65.71,3.52,100,251.15,95
Horasan,TR,1584411928,40.05,42.17,2.06,97,271.71,88
Dwārka,IN,1584411905,22.24,68.97,7.0,1,297.61,56
Nouadhibou,MR,1584411744,20.93,-17.03,9.8,100,291.15,72
Aasiaat,GL,1584411929,68.71,-52.87,6.21,42,246.87,85
Mehamn,NO,1584411928,71.04,27.85,13.43,100,267.46,87
Nueve de Julio,AR,1584411929,-35.44,-60.88,0.89,0,292.04,80
Antalaha,MG,1584411930,-14.9,50.28,1.82,49,299.18,70
Arrondissement de Saint-Dizier,FR,1584411930,48.42,5.08,2.6,75,283.15,87
Vardø,NO,1584411779,70.37,31.11,13.16,100,269.27,81
Agüimes,ES,1584411930,27.91,-15.45,11.3,75,290.37,55
Bandarbeyla,SO,1584411930,9.49,50.81,5.18,100,299.39,80
Fort Saint James,CA,1584411838,54.43,-124.25,0.35,96,267.89,91
Poum,NC,1584411752,-20.23,164.02,8.18,1,300.01,79
Bereda,ES,1584411869,43.27,-7.54,2.1,59,284.26,76
Hambantota,LK,1584411763,6.12,81.12,2.1,40,298.15,100
Mandalgovi,MN,1584411931,45.76,106.27,4.97,87,280.75,23
Sangmélima,CM,1584411932,2.93,11.98,1.71,98,295.33,90
Shibetsu,JP,1584411932,43.66,145.13,5.1,20,274.15,50
Kenai,US,1584411870,60.55,-151.26,4.6,1,275.15,58
Te Karaka,NZ,1584411932,-38.47,177.87,5.89,100,285.8,92
Gizo Government Station,SB,1584411866,-8.1,156.84,1.88,95,301.57,78
Tabuk,PH,1584411843,17.42,121.44,3.46,12,299.64,61
Tabou,CI,1584411859,4.42,-7.35,1.53,99,297.99,93
Dali,CN,1584411933,25.7,100.18,2.23,78,290.9,44
Neiafu,TO,1584411831,-18.65,-173.98,4.6,75,303.15,79
Acajutla,SV,1584411661,13.59,-89.83,0.89,0,297.04,87
Laas,IT,1584411897,46.62,10.7,1.0,32,277.59,92
Udachny,RU,1584411934,66.42,112.4,4.0,100,251.15,83
Russell,US,1584411934,32.35,-85.2,4.1,90,294.26,82
Buin,CL,1584411934,-33.73,-70.75,5.7,0,289.15,67
Meulaboh,ID,1584411906,4.14,96.13,2.67,26,300.58,79
Thunder Bay,CA,1584411934,48.4,-89.32,6.2,75,273.15,83
Labuhan,ID,1584411834,-6.88,112.21,2.69,10,302.52,72
Broken Hill,AU,1584411899,-31.95,141.43,4.1,13,301.15,26
Sindor,RU,1584411935,62.86,51.89,5.28,100,271.64,95
Melbu,NO,1584411935,68.5,14.83,2.68,100,274.82,70
Brae,GB,1584411868,60.4,-1.35,13.4,96,280.15,81
La Palma,US,1584411799,33.85,-118.05,2.1,90,287.59,87
Oistins,BB,1584411936,13.07,-59.53,4.1,20,298.15,73
Verkhnetulomskiy,RU,1584411936,68.61,31.8,4.0,40,268.15,67
Tubualá,PA,1584411936,9.52,-79.03,2.1,20,299.15,65
Havre-St-Pierre,CA,1584411898,50.23,-63.6,3.84,1,254.15,84
Cherskiy,RU,1584411847,68.75,161.3,8.54,30,270.1,80
Umluj,SA,1584411932,25.02,37.27,1.32,0,293.83,37
Tsaratanana,MG,1584411937,-16.78,47.65,1.2,19,292.5,94
Cassilândia,BR,1584411937,-19.11,-51.73,0.33,61,294.77,88
Taoudenni,ML,1584411850,22.68,-3.98,3.78,78,294.0,12
Virginia Beach,US,1584411859,36.85,-75.98,3.6,90,281.48,93
Yerbogachën,RU,1584411938,61.28,108.01,3.41,100,271.58,96
Ghanzi,BW,1584411938,-21.57,21.78,2.22,0,292.79,77
Stradella,IT,1584411938,45.07,9.3,1.0,18,282.04,86
Folkestone,GB,1584411938,51.08,1.18,3.1,33,279.82,93
Sikasso,ML,1584411938,10.92,-7.0,1.73,86,299.13,18
Humaitá,BR,1584411907,-7.51,-63.02,0.66,100,296.54,97
Zunyi,CN,1584411866,27.69,106.91,0.46,100,282.76,87
Pincher Creek,CA,1584411939,49.48,-113.95,2.1,1,270.37,67
Celestún,MX,1584411940,20.87,-90.4,10.19,0,298.38,80
Mahibadhoo,MV,1584411940,3.78,72.97,5.73,98,301.8,77
Janakkala,FI,1584411940,60.9,24.6,1.0,38,270.37,92
Porto Velho,BR,1584411620,-8.76,-63.9,0.5,40,297.15,94
‘Āhuimanu,US,1584411862,21.44,-157.84,2.6,90,299.15,69
San Ramon,US,1584411941,37.78,-121.98,4.1,20,284.26,81
Patacamaya,BO,1584411941,-17.23,-67.92,2.29,100,279.44,90
Katiola,CI,1584411941,8.13,-5.1,4.1,20,301.15,74
Tateyama,JP,1584411929,34.98,139.87,5.1,75,284.82,53
Erzurum Province,TR,1584411942,40.0,41.5,5.1,90,272.15,86
Ureki,GE,1584411942,42.0,41.78,3.1,90,276.15,93
Nísia Floresta,BR,1584411942,-6.09,-35.21,1.0,75,298.15,94
Kankan,GN,1584411942,10.39,-9.31,4.45,94,301.35,18
Coari,BR,1584411942,-4.08,-63.14,0.51,100,297.15,95
